time_step,time,energy,power,dE_dt,residual,work,energy_balance,eL2_u,eH1_u,eL2_v
107,0.107,16.216,50.7191,47.1452,-3.57382,-14.6252,-0.00090218,8.26011e-05,0.0204698,0.000482147
108,0.108,16.2702,57.8224,54.2741,-3.54835,-14.5709,-0.000898831,8.23849e-05,0.0204322,0.000470919
109,0.109,16.3316,64.8688,61.3494,-3.51938,-14.5095,-0.000895045,8.21571e-05,0.0203897,0.000449066
110,0.11,16.3999,71.8511,68.3641,-3.48693,-14.4412,-0.000890827,8.19203e-05,0.0203423,0.000420729
111,0.111,16.4753,78.7625,75.3114,-3.45105,-14.3659,-0.000886181,8.16764e-05,0.0202899,0.000391956
112,0.112,16.5574,85.5961,82.1844,-3.41176,-14.2837,-0.000881111,8.14266e-05,0.0202323,0.000370291
113,0.113,16.6464,92.3453,88.9762,-3.3691,-14.1947,-0.000875622,8.11715e-05,0.0201694,0.000362999
114,0.114,16.7421,99.0033,95.6802,-3.32312,-14.0991,-0.00086972,8.0911e-05,0.0201012,0.000373827
115,0.115,16.8444,105.564,102.29,-3.27386,-13.9968,-0.000863411,8.06443e-05,0.0200277,0.000400858
116,0.116,16.9532,112.02,108.798,-3.22136,-13.888,-0.000856699,8.037e-05,0.0199491,0.000438016
117,0.117,17.0684,118.365,115.2,-3.16569,-13.7728,-0.000849593,8.0086e-05,0.0198655,0.000478312
118,0.118,17.1899,124.594,121.487,-3.10689,-13.6513,-0.000842099,7.97896e-05,0.0197771,0.000515962
119,0.119,17.3175,130.7,127.655,-3.04503,-13.5237,-0.000834224,7.94776e-05,0.0196839,0.000547054
120,0.12,17.4512,136.677,133.697,-2.98016,-13.39,-0.000825977,7.91461e-05,0.0195863,0.000569592
121,0.121,17.5908,142.519,139.606,-2.91235,-13.2504,-0.000817365,7.87911e-05,0.0194841,0.00058342
122,0.122,17.7362,148.22,145.378,-2.84167,-13.105,-0.000808396,7.84085e-05,0.0193775,0.000590128
123,0.123,17.8872,153.775,151.007,-2.76818,-12.954,-0.000799081,7.79941e-05,0.0192663,0.00059287
124,0.124,18.0437,159.178,156.486,-2.69197,-12.7975,-0.000789427,7.75443e-05,0.0191504,0.000595927
125,0.125,18.2055,164.424,161.811,-2.61309,-12.6357,-0.000779445,7.70565e-05,0.0190298,0.000603865
126,0.126,18.3725,169.508,166.977,-2.53164,-12.4688,-0.000769144,7.65288e-05,0.0189043,0.000620321
127,0.127,18.5445,174.425,171.977,-2.44768,-12.2968,-0.000758534,7.59609e-05,0.0187737,0.000646841
128,0.128,18.7213,179.169,176.808,-2.36131,-12.12,-0.000747627,7.53538e-05,0.0186382,0.000682415
129,0.129,18.9027,183.737,181.464,-2.27262,-11.9385,-0.000736432,7.47102e-05,0.0184977,0.000723914
130,0.13,19.0887,188.123,185.942,-2.18167,-11.7526,-0.000724962,7.40338e-05,0.0183524,0.000767087
131,0.131,19.2789,192.324,190.235,-2.08858,-11.5624,-0.000713226,7.33299e-05,0.0182024,0.000807563
